ccode,year,gender,age_group,edu_ilo,neet_fc
ZMB,2017,Female,25-54,Lower Secondary,0.5312154952157894
ZMB,2018,Female,25-54,Lower Secondary,0.5647237047052835
ZMB,2019,Female,25-54,Lower Secondary,0.595090784871439
ZMB,2020,Female,25-54,Lower Secondary,0.529855016814757
ZMB,2021,Female,25-54,Lower Secondary,0.5676502493585941
ZMB,2022,Female,25-54,Lower Secondary,0.575638187148029
ZMB,2023,Female,25-54,Lower Secondary,0.5213485034145681
ZMB,2024,Female,25-54,Lower Secondary,0.3550393285298603
ZMB,2025,Female,25-54,Lower Secondary,0.3550393285298603
ZMB,2015,Female,25-54,No Education,0.7244569979893106
ZMB,2016,Female,25-54,No Education,0.4028475311392846
ZMB,2017,Female,25-54,No Education,0.3945561426241896
ZMB,2018,Female,25-54,No Education,0.4445463606955517
ZMB,2019,Female,25-54,No Education,0.3723884257523053
ZMB,2020,Female,25-54,No Education,0.3837688769857387
ZMB,2021,Female,25-54,No Education,0.3851925293431865
ZMB,2022,Female,25-54,No Education,0.6429474541502618
ZMB,2023,Female,25-54,No Education,0.5457345175475499
ZMB,2024,Female,25-54,No Education,0.5824838102094138
ZMB,2025,Female,25-54,No Education,0.5824838102094138
ZMB,2015,Female,25-54,Primary,0.6884333328374931
ZMB,2016,Female,25-54,Primary,0.2852697278971973
ZMB,2017,Female,25-54,Primary,0.3145764172426242
ZMB,2018,Female,25-54,Primary,0.3374442456650736
ZMB,2019,Female,25-54,Primary,0.3395415559251421
ZMB,2020,Female,25-54,Primary,0.3105503655791145
ZMB,2021,Female,25-54,Primary,0.3340450000265208
ZMB,2022,Female,25-54,Primary,0.3874621116879156
ZMB,2023,Female,25-54,Primary,0.3748358256813534
ZMB,2024,Female,25-54,Primary,0.2622167743639361
ZMB,2025,Female,25-54,Primary,0.2622167743639361
ZMB,2015,Female,25-54,Tertiary,0.7763497715780864
ZMB,2016,Female,25-54,Tertiary,0.3734148902204993
ZMB,2017,Female,25-54,Tertiary,0.5814125271596287
ZMB,2018,Female,25-54,Tertiary,0.3718428198734162
ZMB,2019,Female,25-54,Tertiary,0.5345448716870504
ZMB,2020,Female,25-54,Tertiary,0.5217467227770539
ZMB,2021,Female,25-54,Tertiary,0.5655163228901976
ZMB,2022,Female,25-54,Tertiary,0.824416127628807
ZMB,2023,Female,25-54,Tertiary,0.6125050153727388
ZMB,2024,Female,25-54,Tertiary,0.300496026939404
ZMB,2025,Female,25-54,Tertiary,0.300496026939404
ZMB,2015,Female,25-54,Upper Secondary,0.95
ZMB,2016,Female,25-54,Upper Secondary,0.4368997695171421
ZMB,2017,Female,25-54,Upper Secondary,0.5213533898309565
ZMB,2018,Female,25-54,Upper Secondary,0.6108034295683291
ZMB,2019,Female,25-54,Upper Secondary,0.6216796651454957
ZMB,2020,Female,25-54,Upper Secondary,0.6586995084394524
ZMB,2021,Female,25-54,Upper Secondary,0.6279030359219364
ZMB,2022,Female,25-54,Upper Secondary,0.6022688278623785
ZMB,2023,Female,25-54,Upper Secondary,0.5730761783424856
ZMB,2024,Female,25-54,Upper Secondary,0.4521541550892272
ZMB,2025,Female,25-54,Upper Secondary,0.4521541550892272
ZWE,2015,Female,25-54,Lower Secondary,0.458500965996392
ZWE,2016,Female,25-54,Lower Secondary,0.4904008124353615
ZWE,2017,Female,25-54,Lower Secondary,0.5125007799329423
ZWE,2018,Female,25-54,Lower Secondary,0.444527538954527
ZWE,2019,Female,25-54,Lower Secondary,0.4665889397262361
ZWE,2020,Female,25-54,Lower Secondary,0.5197915630078025
ZWE,2021,Female,25-54,Lower Secondary,0.4838406855702541
ZWE,2022,Female,25-54,Lower Secondary,0.5587745005683203
ZWE,2023,Female,25-54,Lower Secondary,0.4946772711807689
ZWE,2024,Female,25-54,Lower Secondary,0.587577182705261
ZWE,2025,Female,25-54,Lower Secondary,0.587577182705261
ZWE,2015,Female,25-54,No Education,0.578238783889513
ZWE,2016,Female,25-54,No Education,0.4028475311392846
ZWE,2017,Female,25-54,No Education,0.448810055004596
ZWE,2018,Female,25-54,No Education,0.4445463606955517
ZWE,2019,Female,25-54,No Education,0.4719424768542385
ZWE,2020,Female,25-54,No Education,0.3814223483801803
ZWE,2021,Female,25-54,No Education,0.4479482742456422
ZWE,2022,Female,25-54,No Education,0.6671787307517996
ZWE,2023,Female,25-54,No Education,0.6727754058247118
ZWE,2024,Female,25-54,No Education,0.6621022017037648
ZWE,2025,Female,25-54,No Education,0.6621022017037648
ZWE,2015,Female,25-54,Primary,0.264336968428214
ZWE,2016,Female,25-54,Primary,0.2852697278971973
ZWE,2017,Female,25-54,Primary,0.3034938939796265
ZWE,2018,Female,25-54,Primary,0.2656223898696537
ZWE,2019,Female,25-54,Primary,0.2662221271101255
ZWE,2020,Female,25-54,Primary,0.3046521308553488
ZWE,2021,Female,25-54,Primary,0.2847256070208233
ZWE,2022,Female,25-54,Primary,0.3761111628473085
ZWE,2023,Female,25-54,Primary,0.3556599130416933
ZWE,2024,Female,25-54,Primary,0.4339592297473167
ZWE,2025,Female,25-54,Primary,0.4339592297473167
ZWE,2015,Female,25-54,Tertiary,0.3704126890672178
ZWE,2016,Female,25-54,Tertiary,0.3734148902204993
ZWE,2017,Female,25-54,Tertiary,0.3990176879940634
ZWE,2018,Female,25-54,Tertiary,0.3349552610614357
ZWE,2019,Female,25-54,Tertiary,0.5676788477322784
ZWE,2020,Female,25-54,Tertiary,0.2881178173782698
ZWE,2021,Female,25-54,Tertiary,0.5924957600057138
ZWE,2022,Female,25-54,Tertiary,0.5823010491730091
ZWE,2023,Female,25-54,Tertiary,0.4847169858996243
ZWE,2024,Female,25-54,Tertiary,0.6785760062589699
ZWE,2025,Female,25-54,Tertiary,0.6785760062589699
ZWE,2015,Female,25-54,Upper Secondary,0.4537338489719972
ZWE,2016,Female,25-54,Upper Secondary,0.4368997695171421
ZWE,2017,Female,25-54,Upper Secondary,0.3056305316608523
ZWE,2018,Female,25-54,Upper Secondary,0.3204729805276983
